episode,reward,accuracy,steps,loss,elapsed_time
0,-6.5,0.125,8,,9.5367431640625e-07
1,-623.5,0.17193675889328064,506,0.1741479010261356,1.1920928955078125e-06
2,-677.0,0.1678832116788321,548,0.0878023503681332,2.1457672119140625e-06
3,-568.0,0.15401785714285715,448,0.08772502972819243,9.5367431640625e-07
4,-521.0,0.17824074074074073,432,0.061556482014970645,1.1920928955078125e-06
5,-1131.0,0.1797631862217438,929,0.07547299353961218,9.5367431640625e-07
6,-340.5,0.19865319865319866,297,0.1311865613579449,1.6689300537109375e-06
7,-722.0,0.16580310880829016,579,0.06891464153449461,2.1457672119140625e-06
8,-229.5,0.1794871794871795,195,0.04660071356174273,9.5367431640625e-07
9,-785.5,0.17573872472783825,643,0.04378553109843151,7.152557373046875e-07
10,-978.5,0.18137254901960784,816,0.04103940621579943,2.86102294921875e-06
11,-38.0,0.17647058823529413,34,0.6100541984333712,7.152557373046875e-07
12,-480.5,0.22247191011235956,445,0.278558449685741,1.1920928955078125e-06
13,-926.5,0.16711229946524064,748,0.09130225026479519,9.5367431640625e-07
14,-706.0,0.19365609348914858,599,0.0599048145088944,9.5367431640625e-07
15,-517.0,0.18013856812933027,433,0.05402116228097202,3.0994415283203125e-06
16,-260.0,0.19555555555555557,225,0.043333008349355724,7.152557373046875e-07
17,1.5,0.5,16,0.0538286657538265,0.0
18,-226.5,0.2079207920792079,202,0.04972385089743034,9.5367431640625e-07
19,-1097.0,0.1933404940923738,931,0.057727459679576786,2.1457672119140625e-06
20,-695.0,0.22919937205651492,637,0.061638393587750064,9.5367431640625e-07
21,-253.5,0.21304347826086956,230,0.4197031910004823,1.1920928955078125e-06
22,-696.5,0.1791304347826087,575,0.15393386313448781,1.9073486328125e-06
23,-53.0,0.0975609756097561,41,0.08994233158485192,1.6689300537109375e-06
24,-26.5,0.09090909090909091,22,0.049427861093797466,9.5367431640625e-07
25,-143.0,0.22058823529411764,136,0.05971058269770926,1.9073486328125e-06
26,-285.5,0.1910569105691057,246,0.06796595763899689,9.5367431640625e-07
27,-815.5,0.187683284457478,682,0.06825751854964365,9.5367431640625e-07
28,-838.0,0.18077474892395984,697,0.053590343300376084,9.5367431640625e-07
29,-871.0,0.18269230769230768,728,0.06773512821854348,3.0994415283203125e-06
30,-0.5,0.0,1,0.02253827080130577,2.86102294921875e-06
31,-1.0,0.0,2,1.4371102452278137,9.5367431640625e-07
32,-750.0,0.16472545757071547,601,0.2872712863268278,2.1457672119140625e-06
33,-597.0,0.19845857418111754,519,0.10591642516090935,9.5367431640625e-07
34,-477.5,0.20047732696897375,419,0.07669092400826354,9.5367431640625e-07
35,-459.0,0.20149253731343283,402,0.05993534551483964,9.5367431640625e-07
36,-520.5,0.19690265486725664,452,0.06926567247343472,0.0
37,-306.0,0.15789473684210525,247,0.06475928579815306,9.5367431640625e-07
38,-719.0,0.20224719101123595,623,0.0818256377264929,9.5367431640625e-07
39,-107.5,0.16304347826086957,92,0.072505170924832,9.5367431640625e-07
40,-135.5,0.21705426356589147,129,0.0742202959882543,1.9073486328125e-06
41,-307.5,0.21014492753623187,276,0.41980430791559425,9.5367431640625e-07
42,-522.0,0.20518358531317496,463,0.14540966587306098,1.9073486328125e-06
43,-202.0,0.2192513368983957,187,0.10880063540416765,9.5367431640625e-07
44,-864.5,0.18732782369146006,726,0.09389469665975488,2.1457672119140625e-06
45,-808.5,0.1950509461426492,687,0.06884555045781003,7.152557373046875e-07
46,-910.5,0.18469656992084432,758,0.08807203499538858,2.1457672119140625e-06
47,-378.0,0.19877675840978593,327,0.05424362295292979,9.5367431640625e-07
48,-448.0,0.17941952506596306,379,0.09291253361044978,9.5367431640625e-07
49,-218.0,0.18848167539267016,191,0.0815866971924823,9.5367431640625e-07
50,-301.0,0.18359375,256,0.09298380112704763,9.5367431640625e-07
51,-497.5,0.17475728155339806,412,0.3688387245355735,2.1457672119140625e-06
52,-942.0,0.19506172839506172,810,0.1205086549686521,9.5367431640625e-07
53,-506.5,0.17814726840855108,421,0.10184914942481278,9.5367431640625e-07
54,-570.0,0.135632183908046,435,0.1093861312123722,9.5367431640625e-07
55,-703.0,0.18072289156626506,581,0.10415692898010429,2.86102294921875e-06
56,-966.0,0.18719211822660098,812,0.10729877735038512,2.1457672119140625e-06
57,-354.5,0.1901639344262295,305,0.08336256116201154,9.5367431640625e-07
58,-91.0,0.20689655172413793,87,0.0850223686717365,9.5367431640625e-07
59,-675.5,0.22617124394184168,619,0.1004963403474389,3.814697265625e-06
60,-773.5,0.18923076923076923,650,0.0886588781291189,9.5367431640625e-07
61,-19.5,0.15,20,1.3479095607995988,1.9073486328125e-06
62,-293.0,0.14347826086956522,230,0.5472498663093732,3.0994415283203125e-06
63,-1043.0,0.17176470588235293,850,0.1451122774819241,1.9073486328125e-06
64,-723.5,0.2115987460815047,638,0.10015015946963925,2.1457672119140625e-06
65,-119.0,0.22807017543859648,114,0.1061040478872887,9.5367431640625e-07
66,-1161.5,0.19250253292806485,987,0.11938565375289022,2.1457672119140625e-06
67,-826.0,0.17138599105812222,671,0.09674920983773541,9.5367431640625e-07
68,-1132.0,0.1882229232386961,951,0.13419815007603084,9.5367431640625e-07
69,-331.0,0.1590909090909091,264,0.12031916813981353,3.0994415283203125e-06
70,-1067.5,0.188470066518847,902,0.1003101664355764,1.6689300537109375e-06
71,-336.0,0.21122112211221122,303,0.5664695739967398,9.5367431640625e-07
72,-590.5,0.22037037037037038,540,0.170000412835981,2.1457672119140625e-06
73,-43.0,0.15789473684210525,38,0.08775278700417594,0.0
74,-105.5,0.20618556701030927,97,0.09849960871578492,0.0
75,-507.5,0.1912442396313364,434,0.13671287520217798,0.0
76,-39.5,0.2619047619047619,42,0.08016557184358437,2.1457672119140625e-06
77,-955.0,0.16731517509727625,771,0.12204492330157359,9.5367431640625e-07
78,-104.5,0.17582417582417584,91,0.08168812129892163,7.152557373046875e-07
79,-814.0,0.19130434782608696,690,0.1687132084539727,1.1920928955078125e-06
80,-285.5,0.21235521235521235,259,0.09514892300137796,7.152557373046875e-07
81,-144.0,0.176,125,0.9300073409080505,9.5367431640625e-07
82,-43.5,0.22727272727272727,44,0.6610967086797411,1.1920928955078125e-06
83,-216.5,0.1638418079096045,177,0.3101029060781002,2.86102294921875e-06
84,-204.0,0.1695906432748538,171,0.24098174316449122,2.1457672119140625e-06
85,-122.5,0.17307692307692307,104,0.1559966936474666,9.5367431640625e-07
86,-717.0,0.18043844856661045,593,0.15132244293614092,9.5367431640625e-07
87,-291.5,0.2054263565891473,258,0.09907347907839242,9.5367431640625e-07
88,-1040.5,0.17099056603773585,848,0.1605765154246979,1.1920928955078125e-06
89,-21.5,0.14285714285714285,21,0.10796367439130942,1.1920928955078125e-06
90,-26.0,0.23333333333333334,30,0.12997598989556233,9.5367431640625e-07
91,-966.0,0.18450184501845018,813,0.4046478790688119,1.1920928955078125e-06
92,-863.0,0.167621776504298,698,0.13569649567635447,2.1457672119140625e-06
93,-794.0,0.1776416539050536,653,0.12842632045435962,9.5367431640625e-07
94,-651.5,0.18874773139745918,551,0.12991914483034026,2.1457672119140625e-06
95,-893.0,0.19154557463672392,757,0.15683097687095915,1.9073486328125e-06
96,-982.0,0.17412935323383086,804,0.1997639277651072,9.5367431640625e-07
97,-317.5,0.2014388489208633,278,0.14955041676478312,1.1920928955078125e-06
98,-728.0,0.1658119658119658,585,0.16525828136433648,1.1920928955078125e-06
